video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=484XEbLsbQo&pp=ygUEZ2F6YQ%3D%3D,/@JamesKerLindsay,Prof James Ker-Lindsay,ISRAEL | A Gaza Genocide?,85K,1 day,"In December 2023, South Africa initiated proceedings against Israel at the International Court of Justice under the Genocide ...",2024-01-21 05:52:52.597447
/watch?v=z3fiGPmTvus&pp=ygUEZ2F6YQ%3D%3D,/@Channel4News,Channel 4 News,Netanyahu rejects calls for developing Palestinian state after Gaza war,44K,1 day,A spokesperson for the Palestinian President Mahmoud Abbas has insisted there can be “no security and stability in the region” ...,2024-01-21 05:52:52.600291
/shorts/jdEE2pZzn4U,/@ajplus,AJ+,Why isn’t Hollywood talking about Gaza?,81K,5 days,Comedian Amanda Seales claps back at A-listers for not doing more to support Palestine. Subscribe for more videos: ...,2024-01-21 05:52:52.603212
/watch?v=lv1SpwwJEW8&pp=ygUEZ2F6YQ%3D%3D,/@Vox,Vox,"Gaza, explained",3M,2 months,Why Palestinians in Gaza have suffered for decades. Subscribe to our channel and turn on notifications (  ) so you don't miss any ...,2024-01-21 05:52:52.606140
/watch?v=ASCEUwo1zu0&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,War in Gaza takes heavy toll on children,27K,4 days,"As Israel presses on against Hamas in Gaza, children there are facing growing misery. Richard Engel reports on a 13-year-old ...",2024-01-21 05:52:52.609069
/watch?v=wQ_GklePG0g&pp=ygUEZ2F6YQ%3D%3D,/@Reuters,Reuters,"Despite war, couple get married in Gaza tent | REUTERS",3.2K,1 day,"Palestinians Mohammed al-Ghandour and his bride Shahad, both from Gaza City, celebrated their wedding in a camp tent in ...",2024-01-21 05:52:52.611987
/watch?v=eVCUTnhokXo&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Piers Morgan: ‘Israeli bombing of Gaza eight times more than six years of US bombing in Iraq’,82K,4 days,"During a monologue on his show Uncensored on Monday, Piers Morgan highlighted how Israel has dropped eight times more ...",2024-01-21 05:52:52.614820
/watch?v=gpzrZ5uSK8o&pp=ygUEZ2F6YQ%3D%3D,/@TheTimes,The Times and The Sunday Times,"Most of Hamas destroyed in Gaza, says Israel",16K,2 days,"Israel has destroyed around two thirds of Hamas' fighting regiments in Gaza, Israeli Prime Minister Benjamin Netanyahu said on ...",2024-01-21 05:52:52.617768
/watch?v=w2LfrZfaWgI&pp=ygUEZ2F6YQ%3D%3D,/@TheTimes,The Times and The Sunday Times,Hamas militants launch surprise attack on Israel's military in Gaza,46K,2 days,A video released by Hamas shows the group using Gaza's extensive tunnel network to launch surprise attacks on Israel's military.,2024-01-21 05:52:52.620754
/shorts/3lFF7917bPM,/@ajplus,AJ+,"This is what’s left of #Gaza’s churches, mosques, schools and libraries",1.3M,1 month,gaza #israel #palestine Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: ...,2024-01-21 05:52:52.623817
/watch?v=lnBbbwaDz8A&pp=ygUEZ2F6YQ%3D%3D,/@BBCNews,BBC News,Israeli minister outlines plans for Gaza after war | BBC News,257K,2 weeks,Israeli Defence Minister Yoav Gallant has outlined proposals for the future governance of Gaza once the war between Israel and ...,2024-01-21 05:52:52.626848
/shorts/HRuzUOEWxkY,/@DemocracyNow,Democracy Now!,South African lawyer makes case against Israel for genocide in Gaza #ICJ,345K,9 days,Adila Hassim is a South African lawyer presenting the country's genocide case against Israel at the International Court of Justice.,2024-01-21 05:52:52.629838
/watch?v=48mo7AvnZvM&pp=ygUEZ2F6YQ%3D%3D,/@ajplus,AJ+,Palestinian Bodybuilders Work Out In Gaza Ruins,17K,7 years,"These three Palestinian men do street workouts on the rubble of Gaza City. After Israel's attack on Gaza in 2014, the city was left ...",2024-01-21 05:53:00.500234
/watch?v=NuYSxS8kPl8&pp=ygUEZ2F6YQ%3D%3D,/@KingsandGenerals,Kings and Generals,Battle for North Gaza - Israel-Hamas DOCUMENTARY,288K,1 month,Join our YouTube members and patrons to unlock exclusive content! Our community is currently enjoying deep dives into the ...,2024-01-21 05:53:00.502210
/watch?v=7nlCYNT7Z9I&pp=ygUEZ2F6YQ%3D%3D,/@msnbc,MSNBC,Bernie Sanders: Netanyahu tells Biden ‘Screw you’ on Gaza de-escalation,145K,3 days,"Sen. Bernie Sanders joins Chris Hayes to discuss his push for a Gaza human rights inquiry, why he's calling for more scrutiny on ...",2024-01-21 05:53:00.503639
/shorts/kWHrXWsvn28,/@ajplus,AJ+,Why Palestinians sing this song #gaza #palestine,582K,1 month,Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: https://www.instagram.com/ajplus/ Like us on ...,2024-01-21 05:53:00.505094
/watch?v=B487IeR5KSE&pp=ygUEZ2F6YQ%3D%3D,/@FOX32Chicago,FOX 32 Chicago,Gaza aid deal reportedly reached,32K,4 days,"Qatar says it has mediated a deal that will allow for the delivery of medicine for Israeli hostages in Gaza, as well as additional aid ...",2024-01-21 05:53:00.506560
/watch?v=YFSsUg09ITE&pp=ygUEZ2F6YQ%3D%3D,/@MiddleEastEye,Middle East Eye,Israeli reservists demand tougher Gaza action,52K,10 days,"The captain of Israel's reserves criticises Israeli policy on the ground in Gaza, occupied Palestine, and pushes for stronger actions.",2024-01-21 05:53:00.507917
/shorts/uOvP3J3QBtU,/@trtworld,TRT World,Rabbi Weiss denounces Israel’s atrocities in Palestine’s Gaza,375K,1 month,We cry and hurt with the people of Gaza and Palestine” American Rabbi Yisroel Dovid Weiss decried the Israeli state's ongoing ...,2024-01-21 05:53:00.509329
/watch?v=xOTQVwqOOLU&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Israeli PM Netanyahu opposes Palestinian state after Gaza war | LiveNOW from FOX,83K,2 days,Israel-Hamas war update: Prime Minister Benjamin Netanyahu rejected U.S. calls to scale back Israel's military offensive in the ...,2024-01-21 05:53:00.510674
/shorts/C2kHqawTrdY,/@NBCNews,NBC News,Video shows Palestinian artist playing with children a day before he was killed in Gaza,736K,3 months,A Palestinian artist is shown playing with children in #Gaza to raise their spirits less than a day before he was killed in a hospital ...,2024-01-21 05:53:00.512145
/watch?v=Oe7kCxMUTLk&pp=ygUEZ2F6YQ%3D%3D,/@BreakThroughNews,BreakThrough News,Hundreds of Thousands March to White House for Gaza,84K,4 days,A huge protest at the White House condemned Biden for sponsoring Israel's genocide. Biden's approval rating is at an all-time low ...,2024-01-21 05:53:00.513502
/shorts/XjQQguh2kI0,/@VOANews,Voice of America,Palestinians in Gaza Hold Funeral for Hamas Political Official | VOA News,10M,3 months,"Palestinians in the Gaza strip held mass funerals for two members of Hamas' political office, Jawad Abu Shammala and Zakaria ...",2024-01-21 05:53:00.514919
/shorts/RZV_eQybHCA,/@aljazeeraenglish,Al Jazeera English,Israeli singer: 'We're finishing off Gaza' | AJ #shorts,1.5M,2 months,"Israeli pop singer Narkis is seen singing with soldiers and calling to 'finish off Gaza', as Israel continues bombarding the besieged ...",2024-01-21 05:53:00.516317
